,time,patients in ED,all patients waiting,priority 1 patients waiting,priority 2 patients waiting,priority 3 patients waiting,resources occupied
0,1000,2,2,1,1,0,2
1,1100,4,4,2,1,1,2
2,1200,5,5,0,2,3,2
3,1300,5,5,2,1,2,2
4,1400,2,2,0,0,2,2
5,1500,3,3,2,1,0,2
6,1600,3,3,0,3,0,2
7,1700,0,0,0,0,0,0
8,1800,3,3,1,0,2,2
9,1900,5,5,2,1,2,2
10,2000,5,5,2,1,2,2
11,2100,1,1,1,0,0,1
12,2200,3,3,1,1,1,2
13,2300,2,2,0,1,1,2
14,2400,3,3,1,1,1,2
15,2500,6,6,1,1,4,2
16,2600,4,4,2,2,0,2
17,2700,1,1,0,1,0,1
18,2800,3,3,0,0,3,2
19,2900,5,5,2,0,3,2
20,3000,9,9,1,2,6,2
21,3100,9,9,1,0,8,2
22,3200,5,5,1,0,4,2
23,3300,5,5,1,2,2,2
24,3400,2,2,1,0,1,2
25,3500,2,2,1,1,0,2
26,3600,5,5,3,2,0,2
27,3700,4,4,1,0,3,2
28,3800,2,2,0,1,1,2
29,3900,6,6,1,2,3,2
30,4000,6,6,0,2,4,2
31,4100,2,2,0,0,2,2
32,4200,2,2,1,0,1,2
33,4300,2,2,1,0,1,2
34,4400,5,5,0,2,3,2
35,4500,4,4,0,3,1,2
36,4600,4,4,1,0,3,2
37,4700,6,6,0,1,5,2
38,4800,7,7,2,0,5,2
39,4900,4,4,1,1,2,2
